"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"treat";"0";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Relatedness_Cos2";"13";"11";"11";"0";"2";"20";"53";"14";"13";"11";"0";"5";"21";"53";"F=8.497***"
"Size_class";"1257";"";"";"";"";"";"";"1257";"";"";"";"";"";"";"X2=0"
"... Large company";"161";"13%";"";"";"";"";"";"161";"13%";"";"";"";"";"";""
"... Medium sized company";"122";"10%";"";"";"";"";"";"122";"10%";"";"";"";"";"";""
"... Small company";"98";"8%";"";"";"";"";"";"98";"8%";"";"";"";"";"";""
"... Very large company";"876";"70%";"";"";"";"";"";"876";"70%";"";"";"";"";"";""
"NoPatentsYearGUOtotal";"88";"20";"232";"0";"5";"79";"3387";"103";"28";"240";"1";"6";"94";"3137";"F=2.596"
"No_AI_PatentsYearGUOtotal";"0";"0";"0";"0";"0";"0";"0";"1.3";"1";"0.89";"1";"1";"1";"9";"F=2832.872***"
"Date_Incorporation";"1992";"1999";"27";"1654";"1986";"2008";"2019";"1990";"1999";"29";"1807";"1987";"2008";"2020";"F=1.065"
"CurrentYear";"2016";"2016";"2.4";"2011";"2014";"2018";"2019";"2016";"2016";"2.4";"2011";"2014";"2018";"2019";"F=0"
"NoPatentsYearGUOtotal_avg_fixed";"80";"17";"222";"0";"3.8";"69";"3282";"93";"22";"229";"0.4";"4.6";"81";"2984";"F=1.872"
"Specializations_Number.x";"10";"5";"12";"0";"2";"13";"89";"12";"7";"14";"0";"3";"16";"88";"F=10.631***"
"Shannon.x";"2";"1.9";"1.3";"0";"0.98";"2.9";"5.4";"2.2";"2.2";"1.3";"0";"1.2";"3.1";"5.6";"F=12.882***"
"Herfindahl.x";"0.43";"0.33";"0.3";"0.031";"0.19";"0.57";"1";"0.39";"0.31";"0.28";"0.029";"0.17";"0.5";"1";"F=13.459***"
"NoSubs_calculated";"18";"8";"34";"0";"3";"20";"224";"39";"9.5";"126";"1";"3";"20";"1127";"F=2.381"
"NoSubsWithPatents";"1.5";"1";"1.9";"0";"0";"2";"7";"2.9";"1";"5";"0";"0";"3.2";"34";"F=6.281**"
"Quartile";"100";"";"";"";"";"";"";"100";"";"";"";"";"";"";"X2=0"
"... Bottom";"22";"22%";"";"";"";"";"";"22";"22%";"";"";"";"";"";""
"... IQR";"34";"34%";"";"";"";"";"";"34";"34%";"";"";"";"";"";""
"... Top";"44";"44%";"";"";"";"";"";"44";"44%";"";"";"";"";"";""
"No_employees_Year";"1985";"741";"4054";"1";"185";"1827";"22953";"5625";"782";"14634";"1";"100";"2814";"78329";"F=3.871*"
"Relatedness_lagged";"13";"12";"11";"0";"2";"20";"53";"14";"14";"11";"0";"5";"22";"54";"F=7.842***"
"N_specializations_lagged";"9.6";"5";"12";"0";"2";"12";"84";"11";"6";"13";"0";"2";"15";"90";"F=4.893**"
"UniqueCodes.x";"3.6";"3";"2";"1";"2";"5";"8";"3.8";"3";"2.1";"1";"2";"5";"8";"F=5.08**"
"UniqueSubclass.x";"19";"9";"25";"1";"4";"23";"181";"22";"11";"29";"1";"4";"29";"220";"F=10.786***"
